N°POSTE,Nb Postes Vacants,Quotité,TYPE,SIGLE,NOM,ADRESSE,COMMUNE,SUPPORT,DISCIPLINE,CIRCONSCRIPTION
       1914,   ,100,E,E.P.PU,GROUPE SCOL. LEONARD DE VINCI ,76 RUE ROBERT SCHUMAN           ,MARCQ EN BAROEUL          ,2584,G0000,LILLE1-MARCQ EN BAROEUL       
       1915,   ,100,E,E.M.PU,PASCAL                        ,30 RUE DE L ERMITAGE            ,MARCQ EN BAROEUL          ,2584,G0000,LILLE1-MARCQ EN BAROEUL       
       1916,   ,100,E,E.E.PU,LOUISE MICHEL                 ,27 RUE CAMELINAT                ,MARLY                     ,2584,G0000,VALENCIENNES-SAINT SAULVE     
       1917,   ,100,E,E.P.PU,ALOUETTES - PAUL BERT         ,8 RUE DU DOCTEUR FLEMING        ,MARQUETTE LEZ LILLE       ,2584,G0000,LILLE 1 - LAMBERSART          
       1918,   ,100,E,E.M.PU,LEONARD DE VINCI              ,RUE LOUIS BREGUET               ,MAUBEUGE                  ,2584,G0000,AVESNES-MAUBEUGE              
       1919,   1.00,100,E,E.M.PU,ANNE FRANK-CHARLES PERRAULT   ,RUE DU PONT DE PIERRE           ,MAUBEUGE                  ,2584,G0000,AVESNES-MAUBEUGE              
       1920,   1.00,100,E,E.E.PU,G. BRASSENS / M.L. PIOTTE     ,1 PLACE RENE HAMOIR             ,MAUBEUGE                  ,2584,G0000,AVESNES-MAUBEUGE              
       1921,   ,100,E,E.M.PU,LOUIS PERGAUD                 ,20 RUE DES PRETRES              ,MERVILLE                  ,2584,G0000,DUNKERQUE-BAILLEUL            
       1922,   ,100,E,E.P.PU,JACQUES PREVERT               ,15 RUE DE LA BOURSE             ,MARQUILLIES               ,2584,G0000,LILLE2-ANNOEULLIN             
       1923,   ,100,E,E.E.PU,SEVIGNE                       ,1 RUE JEANNE D ARC              ,MONS EN BAROEUL           ,2584,G0000,LILLE3-VILLENEUVE D'ASCQ NORD 
       1924,   ,100,E,E.M.PU,LA FONTAINE                   ,43 RUE DE L AN 40               ,MONS EN BAROEUL           ,2584,G0000,LILLE3-VILLENEUVE D'ASCQ NORD 
       1925,   ,100,E,E.M.PU,VICTOR HUGO                   ,AVENUE RAYMOND HONORE           ,MONTIGNY EN OSTREVENT     ,2584,G0000,DOUAI-WAZIERS                 
       1926,   ,100,E,E.P.PU,DES DEUX VALLEES              ,RUE SIMON BEAUCHAMP             ,MORTAGNE DU NORD          ,2584,G0000,VALENCIENNES-CONDE            
       1927,   ,100,E,E.P.PU,YVES MONTAND                  ,15 RUE CHARLES CAPELLE          ,NEUF BERQUIN              ,2584,G0000,DUNKERQUE-BAILLEUL            
       1928,   ,100,E,E.E.PU,JEAN LEBAS                    ,PLACE EDOUARD LHOTELLIER        ,NEUVILLE ST REMY          ,2584,G0000,CAMBRAI-CENTRE                
       1929,   ,100,E,E.E.PU,JEAN JAURES                   ,49 RUE DU MARQUIS DE MUN        ,NEUVILLE SUR ESCAUT       ,2584,G0000,VALENCIENNES DENAIN           
       1930,   ,100,E,E.E.PU,SUZANNE CRAPET                ,25 RUE PAVE FRUIT               ,NIEPPE                    ,2584,G0000,LILLE2-ARMENTIERES            
       1931,   ,100,E,E.M.PU,PABLO PICASSO                 ,78 RUE VICTOR HUGO              ,ONNAING                   ,2584,G0000,VALENCIENNES BRUAY            
       1932,   ,100,E,E.E.PU,JEAN FERRAT                   ,210 RUE JEAN JAURES             ,ONNAING                   ,2584,G0000,VALENCIENNES BRUAY            
