N°POSTE,Nb Postes Vacants,Quotité,TYPE,SIGLE,NOM,ADRESSE,COMMUNE,SUPPORT,DISCIPLINE,CIRCONSCRIPTION,OBSERVATIONS (POSTE BLOQUE OU JUMELAGE DU POSTE)
       5688,   1.00,100,E,I.REED,ITEP DU DOUAISIS              ,265 RUE PAUL GAUGUIN            ,SIN LE NOBLE              ,UEE ,G0180,DOUAI/CAMBRAI-ASH             ,           
       5689,   ,100,E,I.REED,ITEP METROPOLE                ,4 RUE DELESALLE                 ,LA MADELEINE              ,UEE ,G0180,LILLE 1 / LILLE 3-ASH         ,           
       5690,   1.00,100,E,I.REED,ITEP JACQUES PAULY            ,17 RUE DE NORMANDIE             ,CAMBRAI                   ,UEE ,G0180,DOUAI/CAMBRAI-ASH             ,           
       5691,   ,100,E,I.REED,ITEP DU LITTORAL              ,9AA RUE DU MOULIN               ,GRAVELINES                ,UEE ,G0180,DUNKERQUE/LILLE 2-ASH         ,           
       5692,   1.00,100,E,I.REED,ITEP DE VALENCIENNES          ,23 AVENUE DAMPIERRE             ,ANZIN                     ,UEE ,G0180,AVESNES/VALENCIENNES-ASH      ,           
       5693,   ,100,E,I.M.E.,LE BANC VERT                  ,85 RUE JEAN ZAY                 ,DUNKERQUE                 ,UEM ,G0178,DUNKERQUE/LILLE 2-ASH         ,           
       5694,   ,100,E,CLG   ,GASPARD MALO                  ,1290 BOULEVARD DE L'EUROPE      ,DUNKERQUE                 ,ULCG,G0174,DUNKERQUE/LILLE 2-ASH         ,           
       5695,   ,100,E,CLG   ,THEODORE MONOD                ,5 R BICENTENAIRE DE  REVOLUTION ,ANICHE                    ,ULCG,G0176,DOUAI/CAMBRAI-ASH             ,           
       5696,   ,100,E,CLG   ,DU SEPTENTRION                ,1 RUE DU COLLEGE                ,BRAY DUNES                ,ULCG,G0176,DUNKERQUE/LILLE 2-ASH         ,           
       5697,   ,100,E,CLG   ,JEAN MACE                     ,157 RUE VICTOR HUGO             ,BRUAY SUR L ESCAUT        ,ULCG,G0176,AVESNES/VALENCIENNES-ASH      ,           
       5698,   ,100,E,CLG   ,JOSQUIN DES PRES              ,6 AVENUE LOUIS FRANQUET         ,CONDE SUR L ESCAUT        ,ULCG,G0176,AVESNES/VALENCIENNES-ASH      ,           
       5699,   ,100,E,CLG   ,PAUL ELUARD                   ,269/C RUE SALVADOR ALLENDE      ,CYSOING                   ,ULCG,G0176,LILLE 1 / LILLE 3-ASH         ,           
       5700,   ,100,E,CLG   ,VILLARS                       ,57 RUE EMILE ZOLA               ,DENAIN CEDEX              ,ULCG,G0176,AVESNES/VALENCIENNES-ASH      ,           
       5701,   ,100,E,CLG   ,PIERRE ET MARIE CURIE         ,37 ROUTE DE BOURBOURG           ,GRAVELINES                ,ULCG,G0176,DUNKERQUE/LILLE 2-ASH         ,           
       5702,   1.00,100,E,CLG   ,FERNANDE BENOIST              ,RUE DE THEROUANNE               ,HAZEBROUCK CEDEX          ,ULCG,G0176,DUNKERQUE/LILLE 2-ASH         ,           
       5703,   ,100,E,CLG   ,EUGENE THOMAS                 ,212 RUE DE LA TOUR              ,JEUMONT CEDEX             ,ULCG,G0176,AVESNES/VALENCIENNES-ASH      ,           
       5704,   ,100,E,CLG   ,FRANKLIN                      ,5 BIS BOULEVARD LOUIS XIV       ,LILLE                     ,ULCG,G0176,LILLE 1 / LILLE 3-ASH         ,           
       5705,   ,100,E,CLG   ,ERNEST COUTELLE               ,20 RUE ERNEST COUTELLE          ,MAUBEUGE CEDEX            ,ULCG,G0176,AVESNES/VALENCIENNES-ASH      ,           
       5706,   ,100,E,CLG   ,DESCARTES                     ,PLACE ALBERT 1ER                ,MONS EN BAROEUL           ,ULCG,G0176,LILLE 1 / LILLE 3-ASH         ,           
       5707,   ,100,E,CLG   ,PAUL MACHY                    ,RUE JULES GUESDE                ,DUNKERQUE CEDEX 2         ,ULCG,G0176,DUNKERQUE/LILLE 2-ASH         ,           
       5708,   ,100,E,CLG   ,SEVIGNE                       ,20 RUE JULES DEREGNAUCOURT      ,ROUBAIX CEDEX 1           ,ULCG,G0176,ROUBAIX/TOURCOING-ASH         ,           
       5709,   ,100,E,CLG   ,FRANCOIS VILLON               ,RUE MARTIN LUTHER KING          ,WALINCOURT SELVIGNY       ,ULCG,G0176,DOUAI/CAMBRAI-ASH             ,           
       5710,   1.00,100,E,CLG   ,LOUIS PASTEUR                 ,151 BOULEVARD LOUISE MICHEL     ,SOMAIN                    ,ULCG,G0176,DOUAI/CAMBRAI-ASH             ,           
       5711,   ,100,E,CLG   ,ANDRE STREINGER               ,AVENUE DU 4 SEPTEMBRE           ,DOUAI                     ,ULCG,G0176,DOUAI/CAMBRAI-ASH             ,           
       5712,   ,100,E,CLG   ,SAINT EXUPERY                 ,55 RUE FERDINAND BUISSON        ,HELLEMMES LILLE           ,ULCG,G0176,LILLE 1 / LILLE 3-ASH         ,           
       5713,   ,100,E,CLG   ,MAXENCE VAN DER MEERSCH       ,16 AV DU GENERAL DE GAULLE      ,CAPPELLE LA GRANDE        ,ULCG,G0176,DUNKERQUE/LILLE 2-ASH         ,           
       5714,   ,100,E,CLG   ,ARTHUR RIMBAUD                ,1 RUE DU CHEMIN VERT            ,VILLENEUVE D ASCQ CEDEX   ,ULCG,G0176,LILLE 1 / LILLE 3-ASH         ,           
       5715,   1.00,100,E,CLG   ,ANNE FRANK                    ,23 AVENUE DU MARECHAL FOCH      ,LAMBERSART CEDEX          ,ULCG,G0176,LILLE 1 - LAMBERSART          ,           
